agent,original_filename,filepath,extracted_title,suggested_name,confidence,extraction_status,approved
Education,2022-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,/home/darwin/PRES/Executive/Education/data/raw/2022-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,2022 KCSE EXAMINATION ESSENTIAL STATISTICS,2022-Statistics-Report-KNEC-KCSE-Exam.pdf,HIGH,partial,
Education,2025-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,/home/darwin/PRES/Executive/Education/data/raw/2025-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,2025 KCSE EXAMINATION ESSENTIAL STATISTICS,2025-Statistics-Report-KNEC-KCSE-Exam.pdf,HIGH,partial,
Education,2025-KJSEA-ESSENTIAL-STATISTICS.pdf,/home/darwin/PRES/Executive/Education/data/raw/2025-KJSEA-ESSENTIAL-STATISTICS.pdf,2025 KJSEA ASSESSMENT ESSENTIAL STATISTICS,2025-Statistics-Report-KNEC-KJSEA-Stats.pdf,HIGH,ok,
Education,Audited-Financial-Statements-2021-2022.pdf,/home/darwin/PRES/Executive/Education/data/raw/Audited-Financial-Statements-2021-2022.pdf,Audited Financial Statements 2021-2022,2022-Financial-Statements-MoE-Audited-Financial-Statements.pdf,LOW,failed,
Education,BASIC-EDUCATION-CURRICULUM-FRAMEWORK-2019.pdf,/home/darwin/PRES/Executive/Education/data/raw/BASIC-EDUCATION-CURRICULUM-FRAMEWORK-2019.pdf,Basic Education Curriculum Framework Nurturing Every Learner’s Potential,2019-Framework-MoE-Basic-Education.pdf,HIGH,ok,
Education,BasicEducationActNo_14of2013.pdf,/home/darwin/PRES/Executive/Education/data/raw/BasicEducationActNo_14of2013.pdf,"THE BASIC EDUCATION ACT, 2013",2013-Act-MoE-Basic-Education.pdf,HIGH,partial,
Education,CBA-Age-Based-Regular-Framework.pdf,/home/darwin/PRES/Executive/Education/data/raw/CBA-Age-Based-Regular-Framework.pdf,CBA Age Based Regular Framework,2023-Framework-KNEC-Age-Based.pdf,LOW,error: 'L' format requires 0 <= number <= 4294967295,
Education,EDUCATION-SECTOR-REPORT-FY-2024-25-2026-27.pdf,/home/darwin/PRES/Executive/Education/data/raw/EDUCATION-SECTOR-REPORT-FY-2024-25-2026-27.pdf,EDUCATION SECTOR REPORT - FY 2024/25-2026/27,2024-Annual-Report-MoE-Education-Sector-Report.pdf,HIGH,ok,
Education,EDUCATION-SECTORframework2425-2627.pdf,/home/darwin/PRES/Executive/Education/data/raw/EDUCATION-SECTORframework2425-2627.pdf,EDUCATION SECTOR Medium Term Expenditure Framework 2024/25 – 2026/27,2024-Framework-MoE-Education-Sector-MTEF.pdf,HIGH,partial,
Education,FINAL-Education-Sector-Report-2025-13.11.2025-1247-HRS.pdf,/home/darwin/PRES/Executive/Education/data/raw/FINAL-Education-Sector-Report-2025-13.11.2025-1247-HRS.pdf,2025 Education Sector Report,2025-Strategic-Plan-MoE-Education-Sector-Report.pdf,HIGH,partial,
Education,FY-2024-25-Program-Based-Budget-Book.pdf,/home/darwin/PRES/Executive/Education/data/raw/FY-2024-25-Program-Based-Budget-Book.pdf,PROGRAMME BASED BUDGET OF THE NATIONAL GOVERNMENT OF KENYA,2024-Budget-National-Government-Program-Based.pdf,HIGH,ok,
Education,GPE 2025 results framework for Kenya.pdf,/home/darwin/PRES/Executive/Education/data/raw/GPE 2025 results framework for Kenya.pdf,GPE 2025 Results Framework for Kenya,2025-Research-Report-MoE-GPE-Results-Framework.pdf,HIGH,partial,
Education,KNEC-Audite-Annual-Report-FY-2021-2022.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audite-Annual-Report-FY-2021-2022.pdf,KNEC Audited Annual Report FY 2021-2022,2022-Audit-Report-KNEC-FY-2021-22.pdf,HIGH,partial,
Education,KNEC-Audited-Annual-Report-FY-2019_2020.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audited-Annual-Report-FY-2019_2020.pdf,ANNUAL REPORT AND FINANCIAL STATEMENTS FOR THE YEAR ENDED 30 JUNE 2020,2020-Annual-Report-KNEC-FY-2019-20.pdf,HIGH,partial,
Education,KNEC-Audited-Annual-report-FY-2018-2019.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audited-Annual-report-FY-2018-2019.pdf,"THE KENYA NATIONAL EXAMINATIONS COUNCIL ANNUAL REPORT AND FINANCIAL STATEMENTS FOR THE YEAR ENDED 30 JUNE, 2019",2019-Annual-Report-KNEC-FY-2018-19.pdf,HIGH,partial,
