filename,status,num_records,total_chars,thin_chunks,table_ratio,file_bytes,issues,preview
08_06_2021_Statistical-Annex-to-the-Budget-Statement-for-FY-2021-22-pure_tables.json,EMPTY,0,0,9,0.00,4613214,Has 9 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2007-10-years-report-KICTANet.json,EMPTY,0,0,7,0.00,1554274,Has 7 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2012-FATF-Recommendations.json,EMPTY,0,0,30,0.00,2626659,Has 30 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2015-Policy-Act.json,EMPTY,0,0,1,0.00,1907915,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2016-Agricultural-Biotechnology-Nairobi-Kenya.json,EMPTY,0,0,5,0.00,387684,Has 5 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2016-Annual-Report-PPOA.json,EMPTY,0,0,72,0.00,4015070,Has 72 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2016-Audit-Report.json,EMPTY,0,0,3,0.00,437986,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2016-Budget-Review-and-Outlook-Paper.json,EMPTY,0,0,19,0.00,8935145,Has 19 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2016-IGF-Report.json,EMPTY,0,0,1,0.00,377942,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2016-Strategic-Plan-KNEC-Cybersecurity.json,EMPTY,0,0,6,0.00,974771,Has 6 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2017-Annual-EACC-Report.json,EMPTY,0,0,100,0.00,7527782,Has 100 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2017-Annual-Report-Financial-Statements.json,EMPTY,0,0,97,0.00,7389121,Has 97 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2017-Audit-Report.json,EMPTY,0,0,10,0.00,1931984,Has 10 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2017-Budget-Policy-Statement.json,EMPTY,0,0,46,0.00,13394542,Has 46 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2017-Economic-Survey.json,EMPTY,0,0,293,0.00,59495707,Has 293 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2017-IGF-Report-10th-Kenya-IGF.json,EMPTY,0,0,1,0.00,405053,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2017-State-of-ICT-Report.json,EMPTY,0,0,2,0.00,774349,Has 2 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2017-Strategic-Plan-Ministry-of-Agriculture-Capacity-Building.json,EMPTY,0,0,28,0.00,2132525,Has 28 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2017_Budget_Review_and_outlook_paper.json,EMPTY,0,0,19,0.00,9611384,Has 19 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2018-2019-Annual-Report-EACC.json,EMPTY,0,0,114,0.00,7439393,Has 114 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2018-2019-Anual-Report-PPRA.json,EMPTY,0,0,90,0.00,6253423,Has 90 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2018-Audit-Report-Book.json,EMPTY,0,0,66,0.00,3990950,Has 66 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2018-Budget-Policy-Statement.json,EMPTY,0,0,42,0.00,12304083,Has 42 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2018-EU-Regulation-Deforestation.json,EMPTY,0,0,0,0.00,51354,All records extracted to empty text,
2018-Economic-Survey.json,EMPTY,0,0,307,0.00,63081424,Has 307 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2018-Guidelines-WFP-Water-Management.json,EMPTY,0,0,4,0.00,1104546,Has 4 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2018-Report-KIGF-Report.json,EMPTY,0,0,2,0.00,324423,Has 2 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2018-Strategic-Plan-MOALF.json,EMPTY,0,0,44,0.00,6178949,Has 44 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2018-Strategic-Plan-NES.json,EMPTY,0,0,142,0.00,18083839,Has 142 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2018_Budget_Review_and_Outlook_Paper_September_2018.json,EMPTY,0,0,22,0.00,9549963,Has 22 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2019-Annual-Report-20-18th-MAY.json,EMPTY,0,0,118,0.00,7865542,Has 118 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2019-Annual-Report-Final.json,EMPTY,0,0,58,0.00,5445575,Has 58 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2019-Audit-Report.json,EMPTY,0,0,8,0.00,1197046,Has 8 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2019-Budget-Policy-Statement.json,EMPTY,0,0,58,0.00,13360894,Has 58 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2019-Budget-Review-and-Outlook-Paper-Final.json,EMPTY,0,0,35,0.00,11265161,Has 35 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2019-EAIGF-Audit-Report.json,EMPTY,0,0,0,0.00,42855,All records extracted to empty text,
2019-Economic-Survey.json,EMPTY,0,0,311,0.00,66470653,Has 311 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2019-Framework-KICD-Basic-Education-Curriculum.json,EMPTY,0,0,12,0.00,2744436,Has 12 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2019-IGF-Report.json,EMPTY,0,0,5,0.00,906373,Has 5 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2019-Policy-KNEC-Revised-National-Curriculum-May-9-2019.json,EMPTY,0,0,1,0.00,481318,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2019-Strategic-Roots-and-Tuber-Crops-Strategy.json,EMPTY,0,0,29,0.00,1812303,Has 29 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2019_Budget_Policy_Statement_Creating_Jobs_Transforming_Lives-Harnessing_the_Big_Four_February_2019.json,EMPTY,0,0,55,0.00,11158077,Has 55 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2020-Annual-Report-Huduma-Namba.json,EMPTY,0,0,2,0.00,914132,Has 2 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2020-Annual-Report-Ketraco-FINAL-PRINTING-June_26.json,EMPTY,0,0,64,0.00,5642218,Has 64 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2020-Economic-Survey.json,EMPTY,0,0,363,0.00,72677181,Has 363 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2020-Energy-Statistics-Report.json,EMPTY,0,0,35,0.00,5352931,Has 35 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2020-Essential-ICT-Survey.json,EMPTY,0,0,5,0.00,620391,Has 5 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2020-IGF-Kenya-Report.json,EMPTY,0,0,3,0.00,461783,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2020-Magazine-DVS-A-New-Dawn.json,EMPTY,0,0,4,0.00,964144,Has 4 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2020-Policy-Government-National-ICT-Policy-Guidelines.json,EMPTY,0,0,1,0.00,787773,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2020-Regulations-Amendments.json,EMPTY,0,0,0,0.00,54891,All records extracted to empty text,
202021-Annual-Report-EACC.json,EMPTY,0,0,0,0.00,0,File is completely empty (0 bytes of text),
202021-annual-revenue-performance-final.json,EMPTY,0,0,1,0.00,703814,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2020_Budget_Policy_Statement.json,EMPTY,0,0,55,0.00,14359592,Has 55 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-2022-Audited-Financial-Statements.json,EMPTY,0,0,61,0.00,3905044,Has 61 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-2022-Treasury-Memorandum-Public-Accounts-Committee-Report.json,EMPTY,0,0,172,0.00,6406303,Has 172 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Act-KNEC-Data-Protection-Act.json,EMPTY,0,0,3,0.00,922242,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Act-KNEC-Education.json,EMPTY,0,0,0,0.00,346441,All records extracted to empty text,
2021-Annual-Report-Field-Guide-4-Human-Nutrition-in-Resource-Management-in-Arid-and-Semi-Arid-Zones.json,EMPTY,0,0,7,0.00,1410966,Has 7 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Annual-Report-KPA.json,EMPTY,0,0,30,0.00,3423101,Has 30 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Annual-Report-KeRRA-Appropriation-in-Aid-Receipts-on-E-Citizen.json,EMPTY,0,0,0,0.00,130904,All records extracted to empty text,
2021-Annual-Report-PPRA.json,EMPTY,0,0,138,0.00,10538588,Has 138 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Annual-Report.json,EMPTY,0,0,151,0.00,9688988,Has 151 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Audit-Report-Alternative-Business-and-Partnerships-Booklet.json,EMPTY,0,0,0,0.00,149746,All records extracted to empty text,
2021-Audit-Report-Auditor-General.json,EMPTY,0,0,0,0.00,151628,All records extracted to empty text,
2021-Audit-Report-Changes-Accepted.json,EMPTY,0,0,106,0.00,12648249,Has 106 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Audit-Report-Charter.json,EMPTY,0,0,1,0.00,184010,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Audit-Report-Communication-System.json,EMPTY,0,0,44,0.00,6057966,Has 44 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Audit-Report-Crop-Conditions.json,EMPTY,0,0,9,0.00,917444,Has 9 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Audit-Report-Digital-Rights-Kenya-USPR.json,EMPTY,0,0,3,0.00,217034,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Audit-Report-ESMF.json,EMPTY,0,0,124,0.00,6739376,Has 124 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Audit-Report-KEN-Digital-Readiness-Study.json,EMPTY,0,0,18,0.00,1113174,Has 18 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Audit-Report-PKETRACO-Portfolio.json,EMPTY,0,0,5,0.00,269229,Has 5 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Audit-Report-Pavement-Foundation-and-Materials-Design.json,EMPTY,0,0,154,0.00,14414950,Has 154 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Audit-Report-Safe-Web-for-Women.json,EMPTY,0,0,0,0.00,122058,All records extracted to empty text,
2021-Audit-Report-Wamasae-and-Others.json,EMPTY,0,0,0,0.00,176837,All records extracted to empty text,
2021-Audit-Report.json,EMPTY,0,0,606,0.00,30613335,Has 606 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Audit-orgenkplc.json,EMPTY,0,0,93,0.00,702428,Has 93 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Bill-KRC-The-Railways.json,EMPTY,0,0,79,0.00,1715954,Has 79 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Budget-Policy-Statement.json,EMPTY,0,0,61,0.00,13377856,Has 61 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Cybercrime-Computer-Misuse.json,EMPTY,0,0,3,0.00,980068,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-EnergyandPetroleum-Statistics-Report.json,EMPTY,0,0,22,0.00,2427208,Has 22 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Field-Guide-Pastoral-and-Agro-pastoral-Production-in-Arid-and-semi-arid-zones.json,EMPTY,0,0,13,0.00,1081850,Has 13 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Final-Mag-Post.json,EMPTY,0,0,1,0.00,1670351,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Financial-Statements-Konza-Technopolis-Development-Authority.json,EMPTY,0,0,61,0.00,3457271,Has 61 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Guidelines-Bribery-Act.json,EMPTY,0,0,5,0.00,110822,Has 5 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-IGF-KNEC-YOUTH.json,EMPTY,0,0,0,0.00,310424,All records extracted to empty text,
2021-IGF-Report.json,EMPTY,0,0,6,0.00,655030,Has 6 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Masterplan-KETRACO-National-ICT-Plan.json,EMPTY,0,0,27,0.00,3724572,Has 27 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Medium-Term-Debt-Manadement-Strategy.json,EMPTY,0,0,20,0.00,1903550,Has 20 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Policy-Government-National-Agriculture-Research-System.json,EMPTY,0,0,16,0.00,1157953,Has 16 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Policy-KNEC-Code20of20Ethics.json,EMPTY,0,0,11,0.00,481651,Has 11 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Policy-Kenya-PostHarvestManagementOnFoodLossAndWasteReductionStrategy.json,EMPTY,0,0,38,0.00,3152948,Has 38 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Policy-Ministry-of-Agriculture-National-Agricultural-Insurance.json,EMPTY,0,0,1,0.00,374342,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Policy-Road-Safety-Audits.json,EMPTY,0,0,58,0.00,5226020,Has 58 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Regulations-Draft-for-national-validation.json,EMPTY,0,0,1,0.00,473402,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Research-IMPACT-OF-SMART-CITIES-ON-SUSTAINABLE-URBAN-DEVELOPMENT.json,EMPTY,0,0,1,0.00,387075,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-SR-KNEC-Youth-in-Agribusiness-Strategy.json,EMPTY,0,0,31,0.00,2028441,Has 31 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021-Tax-Expenditure-Report.json,EMPTY,0,0,13,0.00,791461,Has 13 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2021_Budget_Review_and_Outlook_Paper.json,EMPTY,0,0,38,0.00,9331262,Has 38 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-2023-KALRO-Annual-Report.json,EMPTY,0,0,35,0.00,3284008,Has 35 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-23-KALRO-Annual-Report.json,EMPTY,0,0,33,0.00,2722761,Has 33 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-EACC-Final.json,EMPTY,0,0,154,0.00,9280552,Has 154 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-KeRRA-Report.json,EMPTY,0,0,72,0.00,4653077,Has 72 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-BRI.json,EMPTY,0,0,1,0.00,235227,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-CA.json,EMPTY,0,0,66,0.00,6046314,Has 66 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-GeRRI.json,EMPTY,0,0,27,0.00,1605825,Has 27 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-HRI-Final.json,EMPTY,0,0,16,0.00,1259557,Has 16 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-KALRO-Dairy-Research-Institute.json,EMPTY,0,0,16,0.00,1190586,Has 16 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-KARRO-2023.json,EMPTY,0,0,75,0.00,3952519,Has 75 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-KNHA-2023.json,EMPTY,0,0,128,0.00,5623033,Has 128 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-KPLC-Summary-of-Year.json,EMPTY,0,0,3,0.00,145713,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
