filename,doc_id,document_type,agent_access,doc_year,topics,hard_reasons
2015-Policy-Act.pdf,president_2015.policy.act,policy,president,2015,,topics is empty for document_type='policy' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2017-Strategic-Plan-Ministry-of-Agriculture-Capacity-Building.pdf,agriculture_2017.strategic.plan.ministry.of.agriculture.capacity.building,strategic_plan,agriculture|president,2017,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2018-Strategic-Plan-MOALF.pdf,agriculture_2018.strategic.plan.moalf,strategic_plan,agriculture|president,2018,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2018-Strategic-Plan-NES.pdf,president_2018.strategic.plan.nes,strategic_plan,president,2018,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2019-Strategic-Roots-and-Tuber-Crops-Strategy.pdf,agriculture_2019.strategic.roots.and.tuber.crops.strategy,strategic_plan,agriculture|president,2019,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2021-Policy-Government-National-Agriculture-Research-System.pdf,agriculture_2021.policy.government.national.agriculture.research.system,policy,agriculture|president,2021,,topics is empty for document_type='policy' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2022-Audit-Report-Migration-And-Invasive-Pests-And-Weeds-Management-Strategy.pdf,agriculture_2022.audit.report.migration.and.invasive.pests.and.weeds.management.strategy,strategic_plan,agriculture|president,2022,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2022-Masterplan-Ministry-of-ICT-Kenya-Digital.pdf,president_2022.masterplan.ministry.of.ict.kenya.digital,masterplan,president,2022,,topics is empty for document_type='masterplan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2022-Policy-Ministry-of-Agriculture-KASEP.pdf,agriculture_2022.policy.ministry.of.agriculture.kasep,policy,agriculture|president,2022,,topics is empty for document_type='policy' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2023-Final-SRP-OCTOBER-2023.pdf,president_2023.final.srp.october.2023,strategic_plan,president,2023,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2023-Final-SRP-VMGF.pdf,president_2023.final.srp.vmgf,strategic_plan,president,2023,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2023-Strategic-Plan-Ministry-For-Validation-Engagement-19.12.2023-1.pdf,president_2023.strategic.plan.ministry.for.validation.engagement.19.12.2023.1,strategic_plan,president,2023,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2023-Strategic-Plan-MinistryOfEducation-MediumTermExpenditureFramework.pdf,education_2023.strategic.plan.ministryofeducation.mediumtermexpenditureframework,strategic_plan,education|president,2023,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2023-Strategic-Plan-NI.pdf,president_2023.strategic.plan.ni,strategic_plan,president,2023,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2023-Strategic-Who-Globally-DigitalHealth.pdf,ict_2023.strategic.who.globally.digitalhealth,strategic_plan,education|finance|ict|president,2023,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2024-Report-MinistryOfEducation-EducationSector.pdf,education_2024.report.ministryofeducation.educationsector,sector_report,education|president,2024,,topics is empty for document_type='sector_report' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2024-Strategic-Power-Sustainability.pdf,infrastructure_2024.strategic.power.sustainability,strategic_plan,infrastructure|president,2024,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2025-Policy-Africa-Tech-Report.pdf,president_2025.policy.africa.tech.report,policy,president,2025,,topics is empty for document_type='policy' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
2025-Report-MinistryOfEducation-EducationSector.pdf,education_2025.report.ministryofeducation.educationsector,sector_report,education|president,2025,,topics is empty for document_type='sector_report' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
Annual-Report-KESP-2005-2010.pdf,education_annual.report.kesp.2005.2010,strategic_plan,education|president,2010,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
Environment-and-Social-Commitment-Plan-ESCP-for-GREEN-Phase-2-Project.pdf,infrastructure_environment.and.social.commitment.plan.escp.for.green.phase.2.project,strategic_plan,infrastructure|president,na,,topics is empty for document_type='strategic_plan' — add to FILENAME_TOPIC_OVERRIDES or MANUAL_OVERRIDES
Finance--Act-2022.pdf,president_finance..act.2022,act,anticorruption|president,2022,fiscal_policy|governance|tax_revenue,"finance-related act but 'finance' not in agent_access=['anticorruption', 'president'] — add MANUAL_OVERRIDE or update SHARED_ACCESS_MAP"
