agent,original_filename,filepath,size_kb,flags
Education,2022-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,/home/darwin/PRES/Executive/Education/data/raw/2022-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,551.9,ALL_CAPS
Education,2025-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,/home/darwin/PRES/Executive/Education/data/raw/2025-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,526.1,ALL_CAPS
Education,2025-KJSEA-ESSENTIAL-STATISTICS.pdf,/home/darwin/PRES/Executive/Education/data/raw/2025-KJSEA-ESSENTIAL-STATISTICS.pdf,847.3,ALL_CAPS
Education,Audited-Financial-Statements-2021-2022.pdf,/home/darwin/PRES/Executive/Education/data/raw/Audited-Financial-Statements-2021-2022.pdf,29021.2,
Education,BASIC-EDUCATION-CURRICULUM-FRAMEWORK-2019.pdf,/home/darwin/PRES/Executive/Education/data/raw/BASIC-EDUCATION-CURRICULUM-FRAMEWORK-2019.pdf,2954.6,ALL_CAPS
Education,BasicEducationActNo_14of2013.pdf,/home/darwin/PRES/Executive/Education/data/raw/BasicEducationActNo_14of2013.pdf,714.9,
Education,CBA-Age-Based-Regular-Framework.pdf,/home/darwin/PRES/Executive/Education/data/raw/CBA-Age-Based-Regular-Framework.pdf,459.7,
Education,EDUCATION-SECTOR-REPORT-FY-2024-25-2026-27.pdf,/home/darwin/PRES/Executive/Education/data/raw/EDUCATION-SECTOR-REPORT-FY-2024-25-2026-27.pdf,931.3,ALL_CAPS
Education,EDUCATION-SECTORframework2425-2627.pdf,/home/darwin/PRES/Executive/Education/data/raw/EDUCATION-SECTORframework2425-2627.pdf,5539.1,
Education,FINAL-Education-Sector-Report-2025-13.11.2025-1247-HRS.pdf,/home/darwin/PRES/Executive/Education/data/raw/FINAL-Education-Sector-Report-2025-13.11.2025-1247-HRS.pdf,5807.5,
Education,FY-2024-25-Program-Based-Budget-Book.pdf,/home/darwin/PRES/Executive/Education/data/raw/FY-2024-25-Program-Based-Budget-Book.pdf,19603.7,
Education,GPE 2025 results framework for Kenya.pdf,/home/darwin/PRES/Executive/Education/data/raw/GPE 2025 results framework for Kenya.pdf,779.5,HAS_SPACES
Education,KNEC-Audite-Annual-Report-FY-2021-2022.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audite-Annual-Report-FY-2021-2022.pdf,9235.1,
Education,KNEC-Audited-Annual-Report-FY-2019_2020.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audited-Annual-Report-FY-2019_2020.pdf,6166.9,
Education,KNEC-Audited-Annual-report-FY-2018-2019.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audited-Annual-report-FY-2018-2019.pdf,5634.0,
Education,KNEC-Strategic-Plan-2023-2027-Fina-Printed_compressed.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Strategic-Plan-2023-2027-Fina-Printed_compressed.pdf,2781.1,
Education,Kenya-Education-Sector-Report-2024.pdf,/home/darwin/PRES/Executive/Education/data/raw/Kenya-Education-Sector-Report-2024.pdf,5523.3,
Education,NASMLA-Grade-3-Study-1.pdf,/home/darwin/PRES/Executive/Education/data/raw/NASMLA-Grade-3-Study-1.pdf,3378.5,
Education,NG-CDF-Newsletter-Q2-6.pdf,/home/darwin/PRES/Executive/Education/data/raw/NG-CDF-Newsletter-Q2-6.pdf,16958.7,
Education,National-Government-Constituency-Development-Funds-NGCDF-2023-2024.pdf,/home/darwin/PRES/Executive/Education/data/raw/National-Government-Constituency-Development-Funds-NGCDF-2023-2024.pdf,3391.0,
Education,National-curriculum-policy-revised-on-may-9-2019.pdf,/home/darwin/PRES/Executive/Education/data/raw/National-curriculum-policy-revised-on-may-9-2019.pdf,2110.8,
Education,"Report of the Auditor-General on National Government Constituencies Development Fund-Olkalau Constituency for the Year Ended 30 June,2025.pdf","/home/darwin/PRES/Executive/Education/data/raw/Report of the Auditor-General on National Government Constituencies Development Fund-Olkalau Constituency for the Year Ended 30 June,2025.pdf",64455.2,HAS_SPACES
Education,Special-Audit-Report-on-Capitation-and-Infrastructure-Grants-in-Schools-2025.pdf,/home/darwin/PRES/Executive/Education/data/raw/Special-Audit-Report-on-Capitation-and-Infrastructure-Grants-in-Schools-2025.pdf,13586.0,
Education,TASKFORCE-REPORT-CHANGES-ACCEPTED-2021.pdf,/home/darwin/PRES/Executive/Education/data/raw/TASKFORCE-REPORT-CHANGES-ACCEPTED-2021.pdf,6939.3,ALL_CAPS
Education,kenya_education_act211.pdf,/home/darwin/PRES/Executive/Education/data/raw/kenya_education_act211.pdf,586.3,
Education,kesp2005_2010.pdf,/home/darwin/PRES/Executive/Education/data/raw/kesp2005_2010.pdf,2169.3,
Education,nationaleducationsectstrategic plan-2018-2022.pdf,/home/darwin/PRES/Executive/Education/data/raw/nationaleducationsectstrategic plan-2018-2022.pdf,5427.8,HAS_SPACES
