agent,original_filename,filepath,reasoning,extracted_title,suggested_name,confidence,extraction_status,approved
Education,2022-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,/home/darwin/PRES/Executive/Education/data/raw/2022-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,Max retries exceeded,,2022-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,LOW,partial,
Education,2025-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,/home/darwin/PRES/Executive/Education/data/raw/2025-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,All providers failed or rate limited,,2025-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.pdf,LOW,partial,
Education,2025-KJSEA-ESSENTIAL-STATISTICS.pdf,/home/darwin/PRES/Executive/Education/data/raw/2025-KJSEA-ESSENTIAL-STATISTICS.pdf,"The title, issuer, and year are explicitly stated in the document text as '2025 KJSEA ASSESSMENT ESSENTIAL STATISTICS' and 'REPUBLIC OF KENYA KNEC', indicating the Kenya National Examinations Council (KNEC) as the issuer and 2025 as the year.",2025 KJSEA ASSESSMENT ESSENTIAL STATISTICS,2025-Statistics-Report-KNEC-KJSEA-Essentials.pdf,HIGH,ok,
Education,Audited-Financial-Statements-2021-2022.pdf,/home/darwin/PRES/Executive/Education/data/raw/Audited-Financial-Statements-2021-2022.pdf,All providers failed or rate limited,,Audited-Financial-Statements-2021-2022.pdf,LOW,ocr,
Education,BASIC-EDUCATION-CURRICULUM-FRAMEWORK-2019.pdf,/home/darwin/PRES/Executive/Education/data/raw/BASIC-EDUCATION-CURRICULUM-FRAMEWORK-2019.pdf,All providers failed or rate limited,,BASIC-EDUCATION-CURRICULUM-FRAMEWORK-2019.pdf,LOW,ok,
Education,BasicEducationActNo_14of2013.pdf,/home/darwin/PRES/Executive/Education/data/raw/BasicEducationActNo_14of2013.pdf,All providers failed or rate limited,,BasicEducationActNo_14of2013.pdf,LOW,partial,
Education,CBA-Age-Based-Regular-Framework.pdf,/home/darwin/PRES/Executive/Education/data/raw/CBA-Age-Based-Regular-Framework.pdf,"CORRUPT — binary error, unreadable by pdfplumber and OCR",,CBA-Age-Based-Regular-Framework.pdf,SKIP,corrupt_pdf,
Education,EDUCATION-SECTOR-REPORT-FY-2024-25-2026-27.pdf,/home/darwin/PRES/Executive/Education/data/raw/EDUCATION-SECTOR-REPORT-FY-2024-25-2026-27.pdf,All providers failed or rate limited,,EDUCATION-SECTOR-REPORT-FY-2024-25-2026-27.pdf,LOW,ok,
Education,EDUCATION-SECTORframework2425-2627.pdf,/home/darwin/PRES/Executive/Education/data/raw/EDUCATION-SECTORframework2425-2627.pdf,All providers failed or rate limited,,EDUCATION-SECTORframework2425-2627.pdf,LOW,partial,
Education,FINAL-Education-Sector-Report-2025-13.11.2025-1247-HRS.pdf,/home/darwin/PRES/Executive/Education/data/raw/FINAL-Education-Sector-Report-2025-13.11.2025-1247-HRS.pdf,All providers failed or rate limited,,FINAL-Education-Sector-Report-2025-13.11.2025-1247-HRS.pdf,LOW,partial,
Education,FY-2024-25-Program-Based-Budget-Book.pdf,/home/darwin/PRES/Executive/Education/data/raw/FY-2024-25-Program-Based-Budget-Book.pdf,All providers failed or rate limited,,FY-2024-25-Program-Based-Budget-Book.pdf,LOW,ok,
Education,GPE 2025 results framework for Kenya.pdf,/home/darwin/PRES/Executive/Education/data/raw/GPE 2025 results framework for Kenya.pdf,"The title 'GPE 2025 Results Framework for Kenya' and year '2025' are explicitly stated in the document, and the issuer can be inferred as the Ministry of Education due to the context of education sector and partnership with Global Partnership for Education (GPE).",GPE 2025 Results Framework for Kenya,2025-Research-Report-MoE-GPE-Results-Framework.pdf,MEDIUM,partial,
Education,KNEC-Audite-Annual-Report-FY-2021-2022.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audite-Annual-Report-FY-2021-2022.pdf,All providers failed or rate limited,,KNEC-Audite-Annual-Report-FY-2021-2022.pdf,LOW,partial,
Education,KNEC-Audited-Annual-Report-FY-2019_2020.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audited-Annual-Report-FY-2019_2020.pdf,All providers failed or rate limited,,KNEC-Audited-Annual-Report-FY-2019_2020.pdf,LOW,partial,
Education,KNEC-Audited-Annual-report-FY-2018-2019.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Audited-Annual-report-FY-2018-2019.pdf,All providers failed or rate limited,,KNEC-Audited-Annual-report-FY-2018-2019.pdf,LOW,partial,
Education,KNEC-Strategic-Plan-2023-2027-Fina-Printed_compressed.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Strategic-Plan-2023-2027-Fina-Printed_compressed.pdf,All providers failed or rate limited,,KNEC-Strategic-Plan-2023-2027-Fina-Printed_compressed.pdf,LOW,ok,
Education,Kenya-Education-Sector-Report-2024.pdf,/home/darwin/PRES/Executive/Education/data/raw/Kenya-Education-Sector-Report-2024.pdf,All providers failed or rate limited,,Kenya-Education-Sector-Report-2024.pdf,LOW,partial,
